date_maj,station_id,date_prevue,prevision_brute_tn,prevision_brute_tx,prevision_corrigee_tn,prevision_corrigee_tx,obs_veille_tn,obs_veille_tx
2026-09-24,dent-de-rez,2026-09-25,16.1,26.2,16.1,26.2,,
2026-09-24,rochegude,2026-09-25,17.3,30.7,17.3,30.7,,
2026-09-24,tulette,2026-09-25,16.5,30.5,16.5,30.5,,
2026-09-24,orange-centre,2026-09-25,17.1,31.6,17.1,31.6,,
2026-09-24,saint-saturnin-les-avignon,2026-09-25,17.0,31.0,17.0,31.0,,
2026-09-26,saint-paul-les-fonts,2026-09-27,16.9,29.7,16.9,29.7,13.1,29.4
2026-09-26,viviers,2026-09-27,15.7,29.1,15.7,29.1,11.9,29.2
2026-09-26,montjoyer,2026-09-27,16.1,27.1,16.1,27.1,13.7,27.2
2026-09-26,saint-paul-trois-chateaux,2026-09-27,16.9,29.4,16.9,29.4,14.1,28.6
2026-09-26,bourg-saint-andeol,2026-09-27,16.6,28.6,16.6,28.6,,
2026-09-26,dent-de-rez,2026-09-27,14.5,24.3,14.5,24.3,14.4,27.8
2026-09-26,rochegude,2026-09-27,16.6,29.3,16.6,29.3,,
2026-09-26,bollene,2026-09-27,15.6,29.8,15.6,29.8,11.6,25.9
2026-09-26,tulette,2026-09-27,16.2,29.0,16.2,29.0,,
2026-09-26,orange-centre,2026-09-27,15.9,29.7,15.9,29.7,,
2026-09-26,sorgues,2026-09-27,16.5,30.1,16.5,30.1,16.4,27.4
2026-09-26,saint-saturnin-les-avignon-2,2026-09-27,16.2,29.9,16.2,29.9,,
2026-09-26,saint-saturnin-les-avignon,2026-09-27,16.2,29.9,16.2,29.9,,
2026-09-26,montaren-et-saint-mediers,2026-09-27,15.6,29.0,15.6,29.0,13.3,27.1
2026-09-26,lussan-la-leque,2026-09-27,16.6,27.4,16.6,27.4,6.6,29.7
2026-09-26,saint-hilaire-de-brethmas,2026-09-27,15.7,27.9,15.7,27.9,11.9,27.3
2026-09-26,malbosc,2026-09-27,12.4,25.1,12.4,25.1,16.1,27.7
